encoder,roc_auc,accuracy,f1,precision,recall,fold
OrdinalEncoder,0.7306654115213087,0.8072916666666666,0.3633860977288369,0.6786632390745502,0.24812030075187969,1
OrdinalEncoder,0.7241678456714592,0.8135416666666667,0.383184011026878,0.7183462532299741,0.26127819548872183,2
OrdinalEncoder,0.7180585880297403,0.8066666666666666,0.3455571227080395,0.6940509915014165,0.2300469483568075,3
OrdinalEncoder,0.7254697663895017,0.8129166666666666,0.37552155771905427,0.7238605898123325,0.2535211267605634,4
OrdinalEncoder,0.7166604445952824,0.8089583333333333,0.37491479209270623,0.6840796019900498,0.25821596244131456,5
OneHotEncoder,0.7805843570382056,0.8197916666666667,0.4709480122324159,0.6742556917688266,0.3618421052631579,1
OneHotEncoder,0.7644611310798409,0.8264583333333333,0.4930006086427267,0.6994818652849741,0.3806390977443609,2
OneHotEncoder,0.7696386799152792,0.816875,0.4509681449094316,0.6735074626865671,0.3389671361502347,3
OneHotEncoder,0.7614617468308289,0.8233333333333334,0.472636815920398,0.6998158379373849,0.3568075117370892,4
OneHotEncoder,0.7618779342723005,0.8172916666666666,0.458307597282273,0.6696750902527075,0.3483568075117371,5
WoE,0.7772674626877687,0.81875,0.4727272727272727,0.6655290102389079,0.36654135338345867,1
WoE,0.7608652503179791,0.8241666666666667,0.49033816425120774,0.6858108108108109,0.3815789473684211,2
WoE,0.7652125874389577,0.8177083333333334,0.4582043343653251,0.6727272727272727,0.3474178403755869,3
WoE,0.7622626971108221,0.824375,0.4767225325884544,0.7032967032967034,0.36056338028169016,4
WoE,0.7598021506998258,0.8154166666666667,0.45241038318912236,0.6618444846292948,0.3436619718309859,5
