fold,scaler,roc_auc,f1,accuracy,precision,recall
1,MinMaxScaler,0.7751329273397628,0.4729483282674772,0.819375,0.6695352839931153,0.3656015037593985
2,MinMaxScaler,0.7587015333435302,0.49366324683162344,0.8252083333333333,0.6897133220910624,0.3843984962406015
3,MinMaxScaler,0.7592479464021971,0.4623921085080148,0.8183333333333334,0.6732495511669659,0.352112676056338
4,MinMaxScaler,0.7607631150580412,0.474009900990099,0.8229166666666666,0.6950998185117967,0.3596244131455399
5,MinMaxScaler,0.7597817875571142,0.4533662754786906,0.815625,0.6624548736462094,0.34460093896713617
1,StandardScaler,0.7772674626877687,0.4727272727272727,0.81875,0.6655290102389079,0.36654135338345867
2,StandardScaler,0.7608652503179791,0.49033816425120774,0.8241666666666667,0.6858108108108109,0.3815789473684211
3,StandardScaler,0.7652140958198992,0.4582043343653251,0.8177083333333334,0.6727272727272727,0.3474178403755869
4,StandardScaler,0.7622626971108221,0.4767225325884544,0.824375,0.7032967032967034,0.36056338028169016
5,StandardScaler,0.7598021506998258,0.45241038318912236,0.8154166666666667,0.6618444846292948,0.3436619718309859
